[2026-01-18 14:45:32,488: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Wc_m82ujKWaTG9fQ-gz_lr28YPNcV-FD/view into file artifacts/data_ingestion/data.zip]
[2026-01-18 14:48:27,017: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Wc_m82ujKWaTG9fQ-gz_lr28YPNcV-FD/view into file artifacts/data_ingestion/data.zip]
[2026-01-18 14:51:22,209: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-18 14:51:22,210: INFO: main: *******************]
[2026-01-18 14:51:22,210: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2026-01-18 14:51:22,226: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 14:51:22,238: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 14:51:22,238: INFO: common: created directory at: artifacts]
[2026-01-18 14:51:22,239: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-18 14:51:27,654: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2026-01-18 14:51:27,655: INFO: main: *******************]
[2026-01-18 14:51:27,655: INFO: main: >>>>>> stage Training started <<<<<<]
[2026-01-18 14:51:27,657: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 14:51:27,658: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 14:51:27,659: INFO: common: created directory at: artifacts]
[2026-01-18 14:51:27,706: INFO: common: created directory at: artifacts\training]
[2026-01-18 14:51:27,706: ERROR: main: name 'os' is not defined]
Traceback (most recent call last):
  File "D:\OneDrive\Desktop\disaster_victim_detection\main.py", line 39, in <module>
    model_trainer.main()
  File "D:\OneDrive\Desktop\disaster_victim_detection\src\victimDetector\pipeline\stage_03_model_training.py", line 19, in main
    training.create_data_yaml()
  File "D:\OneDrive\Desktop\disaster_victim_detection\src\victimDetector\components\model_training.py", line 27, in create_data_yaml
    yaml_save_path = os.path.join(self.config.root_dir, "data.yaml")
NameError: name 'os' is not defined
